II/, ABP/, PLETH/, RESP/
134,201,132,0
132,198,129,0
132,189,126,0
132,179,122,0
132,168,119,0
132,159,117,0
131,149,115,0
128,140,113,0
123,131,111,0
131,120,109,0
172,108,108,0
226,94,107,0
229,82,107,0
143,75,107,1
122,76,107,3
128,83,108,5
128,92,108,8
127,98,108,11
127,100,108,14
127,100,108,17
127,99,108,20
127,97,108,24
127,97,108,27
126,95,108,32
126,91,108,36
126,86,108,41
125,79,109,45
124,71,109,50
122,64,109,55
119,59,111,59
117,54,113,63
114,51,116,66
114,49,120,70
114,48,124,73
116,47,129,76
121,47,133,78
127,48,136,81
133,51,139,83
138,59,141,84
140,75,142,86
141,101,142,87
142,135,141,88
140,167,140,89
136,190,137,89
134,200,135,90
132,199,131,89
131,191,128,89
131,180,124,88
131,168,121,87
131,158,118,86
131,148,116,85
129,139,113,84
124,130,111,82
122,119,110,80
153,108,109,79
214,95,109,77
232,82,109,75
165,73,109,73
122,71,109,71
121,77,109,69
127,85,109,67
126,92,109,64
126,95,109,62
126,96,109,59
126,96,109,57
126,95,109,54
126,94,109,51
126,93,109,49
126,89,109,46
125,84,109,43
125,77,109,41
124,70,110,39
122,63,111,36
120,58,112,34
118,54,113,32
115,51,115,29
114,49,118,27
114,48,122,25
116,48,126,23
119,48,130,21
124,49,134,19
131,51,137,17
137,57,140,15
140,71,142,14
141,94,142,12
142,126,142,11
142,159,140,9
138,185,139,8
135,200,136,7
133,203,133,7
132,197,129,6
132,187,125,6
132,176,122,7
132,166,118,8
132,156,115,9
131,147,113,11
127,138,111,13
122,128,110,15
137,117,109,18
189,104,109,21
232,91,108,24
194,81,109,27
133,77,109,31
122,81,109,36
127,89,109,41
127,97,109,46
127,101,110,52
126,101,110,58
126,100,110,64
126,99,110,70
126,97,110,76
127,96,110,81
126,94,110,86
125,90,110,91
125,84,110,95
124,77,110,100
123,69,111,104
121,63,112,108
119,58,114,111
116,55,116,114
114,52,120,117
113,51,124,119
114,50,128,121
117,50,132,122
121,50,135,123
127,51,138,123
134,55,141,123
138,65,143,122
140,85,143,121
140,113,143,120
141,147,142,120
138,177,140,119
135,195,137,117
132,201,134,116
131,197,130,115
131,188,127,113
130,177,124,111
130,165,121,110
130,155,118,109
131,146,116,107
127,137,114,106
122,127,113,105
127,117,112,103
166,105,111,102
222,91,111,100
229,79,111,98
145,72,111,97
119,73,111,95
125,80,111,93
126,88,111,91
126,94,112,90
125,96,112,88
125,96,112,86
125,95,112,83
125,95,111,81
125,93,111,78
125,92,111,75
125,89,111,73
124,83,111,70
124,75,111,67
122,68,112,64
121,61,113,61
119,57,115,58
116,53,117,55
113,50,120,52
112,49,123,48
113,47,127,45
115,47,131,41
119,47,135,38
125,48,138,35
132,51,141,32
137,59,143,29
140,74,145,27
141,99,145,24
142,132,144,22
140,165,142,20
136,189,140,17
134,201,136,16
132,200,132,14
132,193,128,12
132,183,125,11
132,171,121,10
132,161,118,9
132,152,116,8
130,143,114,7
124,134,112,7
122,124,111,7
150,113,110,7
209,100,110,8
230,87,109,8
170,78,109,9
124,76,110,10
122,81,110,12
127,90,110,14
127,97,110,16
126,101,110,19
126,101,110,22
126,100,110,25
126,99,110,28
126,97,110,32
126,96,110,35
126,93,111,40
125,89,111,44
125,82,111,49
124,75,112,55
122,68,112,60
121,62,114,66
118,57,116,72
116,54,118,77
114,52,121,83
115,51,125,88
116,50,128,92
119,51,132,97
124,51,136,101
131,54,139,105
137,60,142,108
139,73,145,112
140,96,146,115
141,128,145,118
142,161,144,120
138,188,142,122
135,202,139,124
133,205,135,126
132,199,132,127
131,189,129,128
131,177,126,129
131,167,122,131
131,157,120,132
130,148,118,133
126,139,116,133
121,129,115,134
134,117,114,135
183,104,113,136
230,91,113,136
196,80,112,137
134,75,112,138
121,78,112,138
126,85,112,139
126,93,113,139
126,97,113,140
125,98,114,141
125,98,114,141
125,97,114,141
125,95,114,141
125,94,114,142
125,92,113,141
125,88,113,140
124,82,113,139
123,75,113,137
122,68,114,136
120,62,115,134
118,57,117,132
115,54,120,130
113,51,123,126
112,49,127,123
113,48,131,119
116,48,135,115
121,49,138,111
127,50,142,108
134,54,144,104
139,63,145,100
140,81,146,96
142,109,146,91
142,143,145,86
139,175,143,82
136,196,140,77
134,205,138,72
132,202,134,68
132,194,131,63
132,183,127,59
132,173,124,55
132,163,121,52
131,154,118,49
128,145,116,47
123,136,115,45
129,126,114,43
169,114,113,41
227,101,113,40
234,88,112,39
149,80,112,38
122,79,111,38
127,85,111,39
127,94,112,40
127,101,112,42
127,105,112,44
126,106,113,48
126,106,113,51
127,105,113,56
127,104,112,61
126,102,112,66
126,99,112,71
126,93,112,77
125,85,112,82
124,78,113,89
122,71,114,96
120,65,116,104
118,61,119,112
115,58,122,120
114,57,125,128
115,57,128,135
117,57,132,143
121,57,137,152
126,58,141,160
133,61,144,170
138,70,146,179
140,87,147,189
141,115,147,199
142,149,146,209
140,181,144,219
136,204,142,229
134,214,139,238
132,212,137,246
131,204,134,254
131,193,130,255
130,181,127,255
131,171,123,255
131,161,120,255
129,153,118,255
123,143,116,255
121,133,115,255
147,122,114,255
209,109,113,255
234,97,113,255
176,88,113,255
125,87,114,255
121,92,114,255
126,100,115,255
126,106,115,255
126,109,115,255
125,110,116,255
125,109,116,255
125,108,116,255
125,107,116,255
125,105,116,255
125,101,116,255
124,96,116,255
124,89,116,255
123,81,116,255
122,74,117,255
120,68,118,255
117,64,120,255
114,61,123,255
113,59,126,255
113,59,130,255
115,58,135,255
118,57,139,255
123,58,143,255
130,59,146,255
136,64,148,255
139,75,150,255
139,97,150,255
140,129,150,255
141,163,149,255
136,191,147,255
134,207,145,255
131,210,142,255
131,205,139,255
130,194,136,255
130,181,133,255
130,170,130,255
130,159,128,255
128,150,127,255
124,141,125,255
121,131,124,255
139,120,123,255
194,107,122,255
234,94,122,255
189,84,122,255
129,81,122,255
120,85,122,255
126,93,122,255
125,100,123,255
125,104,123,255
125,105,123,255
125,104,123,255
125,103,123,255
125,102,123,255
125,100,123,255
125,97,123,255
125,93,122,255
124,87,122,254
123,79,121,249
122,71,122,244
120,65,123,238
118,60,124,233
115,57,126,225
113,55,129,218
113,53,132,211
114,53,136,203
117,53,140,195
122,53,144,188
128,54,147,180
135,58,150,173
138,67,152,165
139,86,153,158
140,115,153,150
140,150,152,142
137,180,150,135
134,199,147,127
131,205,145,121
130,200,141,115
130,191,137,108
130,179,133,102
130,168,130,97
130,158,126,91
129,148,124,86
126,139,122,81
121,129,120,77
133,119,119,72
181,106,118,69
229,92,118,65
197,80,118,63
134,74,117,60
121,75,117,58
126,83,117,55
126,91,117,53
125,96,117,51
125,98,117,49
125,98,117,47
125,98,116,46
125,97,116,44
125,95,116,42
125,93,116,39
125,89,116,37
124,83,116,34
123,75,116,31
122,68,117,27
120,62,117,24
118,57,118,20
115,54,120,16
113,51,123,13
112,49,127,10
113,48,131,6
116,48,135,3
121,49,138,0
127,50,141,0
134,53,143,0
138,62,144,0
140,78,144,0
141,105,144,0
142,137,143,0
139,169,142,0
135,191,139,0
133,200,136,0
132,199,132,0
132,192,129,0
132,182,125,0
132,171,121,0
132,161,119,0
131,151,116,0
128,142,114,0
123,133,112,0
129,122,110,0
167,110,109,0
223,97,107,0
230,85,106,0
148,78,106,0
121,78,105,0
127,84,105,0
127,93,106,0
127,99,106,0
126,101,106,0
126,101,107,0
126,100,107,0
126,99,107,0
126,97,107,0
126,96,107,0
126,93,107,0
126,88,106,0
125,81,106,2
123,73,107,4
122,67,107,8
119,61,108,13
117,57,109,17
115,53,112,22
114,51,115,26
114,51,118,31
117,50,122,34
120,50,127,38
126,51,131,41
133,54,134,44
138,62,137,46
140,77,139,48
140,103,139,50
142,136,139,52
140,168,137,54
137,191,136,55
134,202,133,56
132,201,129,57
132,193,126,58
131,182,122,58
131,170,118,59
131,160,115,59
131,151,112,59
129,141,109,60
125,132,107,59
122,122,106,59
147,110,105,59
206,97,104,59
230,83,104,59
173,74,104,59
124,73,105,58
121,78,105,58
127,87,105,58
126,93,106,57
126,96,106,56
126,97,106,55
126,97,105,54
126,96,105,53
126,95,105,51
126,93,104,50
126,90,104,48
125,85,104,47
125,78,104,44
124,71,105,42
122,64,105,40
120,59,106,37
118,55,108,34
115,51,111,32
113,49,114,30
114,48,118,27
115,47,122,25
119,47,125,22
124,48,129,19
131,50,132,17
137,55,134,14
140,67,137,11
141,89,138,9
142,120,138,6
142,155,137,4
138,183,135,2
135,199,132,1
133,203,128,0
132,198,125,0
132,188,121,0
132,177,118,0
132,167,116,0
132,157,113,0
131,148,111,0
128,139,109,0
123,129,107,0
137,118,106,0
188,105,105,0
232,92,104,0
195,81,104,1
134,76,104,3
123,79,104,6
128,86,105,9
127,94,105,12
127,99,106,15
127,101,106,18
127,100,107,21
127,99,107,25
127,98,107,28
127,97,106,32
127,95,106,37
127,91,106,41
126,85,106,45
125,78,107,50
123,70,107,54
122,64,108,58
119,59,110,61
116,55,112,65
114,53,114,69
114,51,117,73
115,50,121,76
118,49,125,79
122,50,129,81
128,51,133,84
135,55,137,86
139,65,139,87
140,85,140,89
141,115,140,90
142,148,139,90
139,178,137,91
135,197,135,91
133,203,132,91
132,199,128,91
131,189,125,91
131,178,122,90
131,167,119,90
131,157,116,89
131,147,113,89
128,138,111,88
123,129,109,87
122,118,108,86
165,105,107,85
222,92,106,84
229,80,106,83
147,74,106,82
120,75,107,81
126,81,107,80
127,89,107,79
126,94,108,77
126,96,108,76
126,96,108,74
126,96,108,72
126,95,107,70
126,94,107,69
126,92,107,66
125,88,107,64
125,82,107,62
124,75,107,60
123,68,107,57
121,62,108,54
119,57,109,51
116,53,112,48
113,50,115,45
112,48,118,42
113,47,122,39
115,46,126,36
119,47,129,33
125,48,133,31
133,51,136,28
138,58,138,25
140,73,140,22
141,99,140,19
142,132,140,17
141,165,138,15
137,190,136,12
134,201,132,10
133,201,129,8
132,194,125,6
132,183,122,4
132,172,119,2
132,161,116,1
132,151,113,0
130,143,111,0
125,134,109,0
123,124,108,0
150,113,107,0
209,101,106,0
230,88,106,0
171,78,106,0
125,75,106,0
122,80,106,0
128,89,106,0
127,96,106,0
127,100,106,0
127,101,106,2
127,100,106,4
127,99,105,7
127,98,105,10
127,97,105,14
126,93,104,18
126,89,104,22
125,82,104,27
124,74,105,33
123,67,105,38
121,61,106,43
119,57,108,48
116,53,111,53
115,51,114,58
115,50,118,64
116,49,122,69
119,49,127,74
124,50,131,79
130,52,135,84
136,58,138,88
139,71,140,92
140,94,141,96
141,126,141,99
141,160,140,103
138,187,138,106
135,201,135,109
133,204,131,112
132,198,128,114
131,188,124,116
131,177,120,118
131,165,117,119
131,156,114,121
130,147,112,122
127,137,110,123
122,127,109,124
135,116,108,125
184,102,108,126
230,89,107,127
197,77,107,127
134,73,107,128
121,76,107,129
127,84,107,129
127,91,108,129
126,96,108,130
126,97,108,130
126,97,108,130
126,95,108,129
126,94,108,129
126,92,108,127
125,90,107,126
125,86,107,125
125,80,107,124
124,73,107,122
122,66,107,120
121,60,108,117
118,55,110,115
115,51,113,111
113,49,117,108
112,47,120,105
113,47,123,101
116,46,127,98
120,47,131,94
127,48,135,90
134,52,138,86
139,61,140,82
140,79,141,77
142,107,141,73
142,141,141,68
139,172,139,64
136,193,136,59
134,201,134,55
132,199,131,51
132,190,127,48
132,179,123,44
132,169,119,41
132,158,116,38
132,149,113,35
128,140,110,32
123,131,109,30
130,121,107,28
169,110,107,26
225,97,106,24
230,84,106,23
146,76,106,22
122,75,106,22
127,82,107,22
128,90,107,23
127,97,107,23
127,100,109,25
127,100,111,26
127,99,111,28
127,98,112,30
126,97,111,32
126,95,111,34
126,92,111,37
125,86,111,40
125,79,111,44
124,71,112,48
122,65,113,51
120,59,114,55
117,55,116,59
115,51,119,63
114,49,122,67
115,49,126,71
117,48,130,75
121,49,134,79
127,49,138,83
133,53,141,87
138,60,144,91
140,77,145,94
141,104,146,97
142,138,145,100
141,171,143,103
137,194,141,105
134,204,138,107
133,203,135,109
132,195,132,111
132,184,129,113
132,173,125,114
132,163,122,116
132,153,120,117
130,145,118,119
125,135,116,120
123,125,114,122
150,113,113,123
208,99,112,124
230,86,112,126
172,77,112,128
125,75,112,130
122,80,113,132
128,89,113,133
127,96,113,135
127,99,113,137
127,100,113,139
127,99,113,140
127,97,113,142
127,96,113,143
127,95,113,145
127,92,113,146
126,87,113,148
125,80,113,148
124,73,113,149
123,66,113,149
121,60,115,150
118,56,117,149
116,53,119,149
114,50,121,148
114,49,125,147
115,49,129,145
119,49,133,144
124,49,137,142
130,52,140,141
136,58,143,139
139,72,145,137
140,95,146,135
141,128,146,133
142,162,145,130
138,189,143,128
135,203,141,126
132,205,138,124
132,198,135,122
131,187,131,121
131,176,127,119
131,165,124,118
131,156,121,117
130,147,118,116
126,139,115,116
121,129,113,115
136,118,112,115
189,106,111,115
235,93,111,116
196,81,111,116
134,76,111,117
122,78,111,117
127,85,111,118
127,93,112,119
127,99,112,120
126,101,112,121
126,102,113,122
127,101,113,123
127,100,114,125
127,99,114,126
127,97,114,128
126,92,114,129
126,86,114,131
125,79,114,133
123,71,114,135
122,65,114,137
119,60,115,139
117,56,117,142
115,54,120,144
114,53,124,146
115,52,128,149
118,52,133,151
122,53,137,154
129,55,141,157
135,59,144,161
140,71,146,164
141,93,147,168
142,125,147,171
142,161,146,175
139,191,144,179
135,210,141,184
133,215,138,189
132,211,135,195
131,201,131,202
131,189,128,209
131,178,124,217
131,168,121,225
131,159,119,234
127,150,117,242
122,141,115,250
128,130,114,253
169,118,113,255
229,105,113,255
235,93,113,255
150,86,113,255
122,87,114,255
127,94,114,255
127,102,115,255
126,107,115,255
126,109,115,255
126,109,116,255
126,108,116,255
126,107,116,255
126,106,116,255
126,103,116,255
126,100,115,255
125,94,115,255
124,87,116,255
123,78,116,255
122,71,117,255
119,65,118,255
117,62,120,255
115,59,122,255
114,58,126,255
114,57,130,255
116,57,134,255
120,57,139,255
126,57,143,255
133,60,147,255
138,67,149,255
140,83,151,255
141,111,152,255
141,145,151,255
139,179,150,255
135,202,148,255
133,211,145,255
131,209,142,255
131,200,138,255
131,188,135,255
131,176,131,255
131,165,128,255
131,156,125,255
128,147,123,255
123,137,122,255
122,127,121,255
158,115,120,255
218,102,120,255
233,90,120,255
160,82,120,255
122,82,120,255
126,88,120,255
127,96,120,255
126,102,121,255
126,104,121,255
126,104,121,255
126,103,121,255
126,102,120,255
126,101,120,255
126,99,120,255
126,95,119,255
125,90,119,255
125,83,119,255
124,75,119,255
122,68,120,255
120,62,121,251
118,58,123,246
115,55,125,240
114,53,129,233
114,52,132,227
116,51,136,221
119,51,140,213
125,52,143,205
132,54,146,197
137,60,149,189
139,73,151,180
140,96,152,171
141,128,152,162
140,161,151,153
136,187,149,145
133,201,146,137
131,203,143,130
131,196,139,122
131,185,136,116
131,173,133,109
131,163,130,103
130,153,128,97
128,143,125,92
123,134,122,87
121,124,120,83
151,112,119,79
211,99,118,75
231,86,118,71
166,77,118,68
122,75,118,65
121,79,118,62
126,86,119,59
126,92,119,56
126,95,119,53
125,96,119,51
125,96,119,48
125,95,119,46
125,94,119,44
126,93,119,41
125,90,119,38
125,85,119,35
124,79,119,32
123,72,119,29
122,65,119,26
119,59,119,23
117,55,120,20
114,52,122,16
113,49,124,13
113,48,128,9
114,47,132,5
118,47,136,2
124,47,140,0
131,49,144,0
137,55,146,0
139,67,148,0
140,89,148,0
142,120,148,0
141,154,147,0
137,182,145,0
134,198,142,0
132,201,139,0
132,196,135,0
132,186,131,0
132,175,127,0
132,164,123,0
132,155,119,0
130,145,116,0
126,137,114,0
123,127,111,0
143,116,108,0
200,103,106,0
231,89,105,0
182,79,105,0
127,74,105,0
121,78,105,0
127,86,105,0
127,94,105,0
127,99,105,0
126,100,105,0
126,100,105,0
126,99,105,0
126,98,105,0
126,97,105,0
126,94,105,0
126,90,105,0
125,84,105,0
124,76,105,0
123,69,105,0
121,62,106,4
119,57,107,8
117,53,109,13
115,51,111,17
115,50,115,22
116,49,119,26
119,49,123,30
123,50,126,34
129,51,130,37
135,56,133,40
139,67,136,42
140,88,137,45
141,119,138,47
142,153,138,49
139,183,136,51
135,200,134,53
133,205,131,54
132,200,127,55
131,190,123,56
131,179,120,57
131,167,116,58
131,157,113,59
130,147,110,59
127,138,108,60
122,128,105,61
132,117,104,61
176,104,103,61
227,91,102,62
202,80,102,62
138,75,102,62
121,77,103,62
127,84,103,63
127,91,103,63
126,96,104,63
126,97,104,63
126,96,104,63
126,95,103,63
126,94,103,63
126,93,104,62
125,91,104,62
125,87,104,60
125,82,104,59
124,75,104,57
123,68,104,55
121,61,105,53
118,56,106,51
115,53,108,48
113,50,111,46
112,48,114,44
113,47,119,41
116,46,123,39
120,47,127,36
127,48,130,33
134,51,134,30
138,60,136,27
140,77,138,24
142,104,139,22
142,137,138,19
140,169,137,17
136,191,135,14
134,201,132,11
132,199,128,9
132,191,124,6
132,180,120,3
132,169,116,1
132,158,113,0
131,149,110,0
129,140,108,0
123,131,106,0
123,121,105,0
164,109,105,0
222,96,104,0
232,83,104,0
152,75,104,0
122,74,104,0
127,80,104,0
127,89,104,0
127,95,104,0
127,99,104,0
127,99,104,0
127,99,105,0
127,98,105,0
127,97,105,0
127,95,105,0
126,93,105,0
126,87,105,0
125,81,105,0
124,73,106,0
122,65,106,0
120,60,107,1
118,55,109,4
115,52,112,7
115,50,115,10
115,49,118,13
117,49,121,17
120,49,125,20
126,50,129,23
132,53,133,27
137,59,136,30
139,75,138,34
140,101,139,38
142,135,139,42
141,169,138,47
137,193,135,51
134,205,133,56
132,204,130,60
132,196,127,64
131,185,123,68
131,173,120,72
131,163,116,76
131,153,113,79
130,145,109,83
125,136,107,87
122,125,105,90
142,113,104,93
197,100,103,97
231,86,103,100
183,76,103,103
127,73,103,105
121,78,104,108
127,86,104,111
126,93,105,113
126,96,105,115
126,96,105,117
126,95,106,118
126,95,106,120
126,93,105,120
126,92,105,121
125,90,105,121
125,85,105,121
124,79,105,120
123,71,105,119
122,64,106,118
120,58,106,116
117,54,108,114
114,50,110,112
112,48,113,109
112,46,117,106
114,46,121,103
117,45,125,99
122,46,129,95
129,48,133,90
135,53,136,85
139,64,138,80
140,85,139,75
142,115,140,70
142,149,139,65
139,179,138,60
135,196,135,56
133,201,132,52
133,197,129,48
132,187,125,43
132,176,121,39
132,165,117,35
132,156,114,32
131,147,111,28
127,138,109,25
123,129,107,23
135,118,105,20
183,106,105,18
230,93,104,15
199,81,104,13
136,75,105,11
123,77,105,10
128,84,105,9
128,92,106,8
127,97,106,7
127,99,106,7
127,99,106,7
127,99,106,7
127,98,106,8
127,97,106,9
127,95,105,11
127,91,106,13
126,85,106,15
125,78,106,17
124,71,106,19
122,64,107,21
120,59,108,24
117,55,110,26
115,52,113,30
115,50,115,33
116,49,118,37
119,49,123,40
123,49,127,44
128,51,131,48
135,55,135,52
140,64,138,56
141,83,140,59
142,112,140,62
142,146,140,66
140,177,138,69
136,197,135,73
134,204,133,76
132,201,130,79
132,193,126,83
132,181,123,86
132,170,119,88
132,160,116,91
131,151,113,94
129,142,111,98
124,133,109,101
122,122,108,104
158,110,107,107
217,97,106,110
231,84,106,113
157,76,106,116
121,76,106,118
125,81,106,120
127,89,106,122
126,94,106,124
126,96,107,126
126,96,107,127
126,95,107,129
126,94,107,130
126,93,107,132
126,91,106,132
125,88,106,133
125,83,106,133
124,76,106,133
123,69,106,132
121,62,107,131
119,57,108,129
116,53,110,127
113,49,113,124
112,47,116,121
112,46,120,118
114,45,125,114
119,45,129,111
125,46,133,108
132,49,136,103
137,55,138,99
140,69,140,94
141,94,141,90
142,127,141,85
141,161,140,80
137,186,139,76
134,199,138,72
133,200,136,68
132,193,133,63
132,183,129,59
132,171,125,54
132,161,122,50
132,151,119,46
130,142,117,42
125,133,115,38
123,123,114,35
150,112,113,32
209,99,112,29
231,86,112,27
172,76,112,24
124,72,112,22
122,76,113,21
127,84,113,19
127,93,113,18
127,97,113,17
127,99,113,16
126,99,112,15
126,98,112,16
126,97,112,16
126,96,112,16
126,93,112,17
126,89,113,18
125,82,113,20
124,75,113,22
123,67,114,24
121,61,115,26
118,56,117,28
116,53,119,30
115,50,121,32
115,49,124,35
116,48,127,37
119,48,131,40
124,49,135,44
130,51,139,47
136,57,142,50
140,70,145,53
141,93,146,56
142,125,147,59
142,159,146,63
139,186,144,67
135,201,142,71
133,204,140,74
132,198,136,78
132,188,132,82
132,177,128,86
132,166,124,90
132,156,121,93
130,147,118,97
127,138,116,100
122,128,114,103
133,117,113,106
179,104,112,109
229,91,111,113
201,80,111,115
137,75,111,118
121,79,111,121
127,86,111,123
127,94,111,126
127,98,112,128
126,99,112,130
126,99,113,133
126,97,114,135
126,95,114,137
126,93,114,138
126,91,114,140
125,86,113,141
124,80,113,142
124,73,113,143
122,66,113,143
121,59,114,143
118,54,115,142
115,51,117,141
113,48,120,140
112,46,124,139
113,45,128,138
116,45,132,136
120,45,135,134
127,47,139,132
134,50,142,129
138,59,144,126
140,78,146,123
141,107,146,119
142,142,146,115
139,173,145,111
135,194,142,107
133,202,139,103
132,199,136,99
131,190,132,95
131,179,128,91
131,168,125,87
131,159,122,83
132,150,119,79
128,141,116,75
123,132,115,72
123,122,113,68
166,110,113,65
225,97,113,62
233,84,113,60
150,75,113,57
122,73,113,55
127,80,113,52
128,89,114,51
127,97,114,49
127,100,115,48
127,101,115,47
126,101,115,47
126,100,115,46
126,99,114,47
126,98,114,47
126,95,114,48
126,89,113,49
125,82,113,50
124,75,114,52
122,67,115,54
120,61,116,55
118,57,117,57
115,55,119,60
114,53,122,63
115,53,126,66
117,52,130,70
120,53,134,75
126,53,138,80
133,57,142,86
138,65,145,93
140,83,148,99
141,111,149,106
142,146,149,112
141,180,148,119
137,203,146,126
134,213,142,134
132,212,139,143
131,203,134,152
131,191,130,162
131,180,126,172
131,169,123,182
131,160,120,191
130,151,118,201
125,142,117,211
122,133,115,222
145,121,114,233
206,108,114,244
238,95,113,250
183,86,113,255
128,84,112,255
122,89,112,255
127,97,112,255
127,103,112,255
126,107,113,255
126,107,114,255
126,107,114,255
126,105,115,255
125,104,115,255
125,102,115,255
126,99,115,255
125,94,115,255
125,87,115,255
124,79,115,255
122,72,116,255
120,66,117,255
118,61,119,255
115,59,122,255
114,57,125,255
114,56,129,255
115,55,133,255
118,55,137,255
124,55,140,255
130,57,143,255
136,63,146,255
139,75,148,255
140,99,150,255
141,131,150,255
141,166,149,255
137,195,148,255
134,209,145,255
132,212,143,255
131,205,140,255
131,193,137,255
130,181,134,255
130,169,131,255
130,160,128,255
129,151,126,255
125,142,124,255
121,132,122,255
138,121,121,255
192,109,120,255
234,95,120,255
191,84,120,255
131,79,120,255
122,82,120,255
127,90,121,255
126,98,121,255
126,103,121,255
126,105,121,255
126,104,121,255
126,103,121,255
126,101,121,255
126,99,121,255
126,97,121,255
125,92,120,255
125,85,120,255
124,78,120,255
122,70,120,255
121,63,120,255
118,59,121,255
116,55,123,255
114,53,126,255
114,52,129,255
115,51,133,251
118,51,138,247
122,51,142,240
128,52,146,232
135,55,149,224
138,65,152,215
140,83,153,207
141,113,154,199
141,147,154,192
137,178,153,184
134,197,151,177
132,203,148,169
131,199,144,161
131,190,139,153
130,178,135,146
130,167,131,139
130,157,128,132
130,147,125,126
126,138,123,120
122,128,122,114
134,117,121,110
182,103,120,105
228,90,120,100
194,78,120,96
132,71,120,92
120,73,120,88
126,80,120,84
126,88,120,81
126,93,120,78
126,96,120,75
126,96,120,72
126,96,120,68
125,95,121,64
125,93,121,60
125,91,121,56
125,87,121,51
124,80,121,46
123,73,121,41
122,65,121,36
120,59,121,31
118,55,122,27
115,51,123,23
113,49,125,18
112,47,128,13
113,45,129,8
116,45,130,3
121,45,132,1
128,47,135,0
135,51,138,0
139,59,140,0
140,77,142,0
142,104,142,0
142,137,142,0
139,169,141,0
135,190,138,0
133,199,135,0
132,197,132,0
132,189,128,0
132,178,125,0
132,167,121,0
132,157,118,0
131,148,115,0
128,139,112,0
123,129,110,0
129,119,108,0
170,107,107,0
226,94,106,0
230,82,106,0
145,75,105,0
122,75,105,0
127,82,105,0
128,90,104,0
127,96,104,0
127,99,104,0
127,99,103,0
127,98,103,0
127,97,104,0
127,97,104,0
127,95,104,0
126,92,104,0
126,86,105,0
125,79,105,0
124,71,105,0
122,64,106,0
120,59,106,0
118,55,107,0
116,51,109,0
115,50,112,0
115,49,115,0
117,48,119,0
121,48,123,0
127,49,127,0
133,53,131,4
138,61,135,8
140,77,137,12
141,105,138,17
142,139,138,22
140,171,137,26
137,194,135,30
134,204,133,34
132,203,129,38
131,194,126,42
131,182,122,45
131,171,118,49
131,160,115,52
131,150,112,56
129,141,110,59
124,131,108,62
122,121,106,65
148,109,105,67
207,95,105,70
229,83,105,72
170,73,104,74
123,72,104,77
121,78,104,78
127,86,104,80
126,93,105,81
126,95,105,82
126,95,105,83
126,95,105,83
126,94,105,83
125,93,105,83
125,91,104,82
125,89,104,81
125,83,104,79
124,77,104,77
123,69,104,74
122,62,104,72
120,56,105,70
117,52,107,67
114,49,109,63
113,47,112,60
113,45,115,56
114,45,118,52
118,45,123,47
124,45,127,43
131,47,131,38
137,53,134,33
140,65,137,29
141,87,139,25
143,119,139,22
142,153,138,18
138,181,136,15
135,197,133,11
133,200,130,8
132,195,127,4
132,185,123,2
132,173,120,0
